"0.ogg","Na, csörömpölök."
"1.ogg","Hálózatot keresek, vagy mi a szösz. Várjál már!"
"2.ogg","Francba, nem megy a wifi. Gépeld be normálisan azt a jelszót, aztán próbáld megint, na!"
"3.ogg","A szerver se jó? Nézd már meg azt a vacak hálózatot, aztán nyomkodd megint!"
"4.ogg","Na, vége a hálózati izének. Vissza a melóhoz."
"5.ogg","Na végre, van net. Kezdhetjük a cirkuszt?"
"6.ogg","Hát ez a hálózat se jött össze. Próbáld később, ha ráérsz."
"7.ogg","Na, akkor porszívózzunk, vagy mi..."
"8.ogg","Jóvan, odamegyek, ahol mutattad. Kosz van?"
"9.ogg","Ütemezett takarítás? Mintha nem lenne jobb dolgom..."
"10.ogg","Jó, jó, folytatom, csak egy szusszanás volt."
"11.ogg","Pauza. Kell a pihenő, nem?"
"12.ogg","Na, kész a meló. Ennyi volt mára."
"13.ogg","Visszacsorgok a töltőre, kell a szufla."
"14.ogg","Merülök, mint a Titanic. Visszamegyek tölteni. Majd jövök, ha feltöltöttem, ne zaklass!"
"15.ogg","Vissza a startra. Elfáradtam."
"16.ogg","Majd' lemerülök, visszamegyek. Töltsél már fel, hé!"
"17.ogg","Tegyél már a töltőre, magamtól nem megy!"
"18.ogg","Töltődöm. Ne piszkálj!"
"19.ogg","Előbb vegyél le a töltőről, aztán kapcsolgass ki, te szerencsétlen!"
"20.ogg","Alacsony a töltés, szólok."
"21.ogg","Lemerültem. Kikapcs, szevasz."
"22.ogg","Hova menjek takarítani? Mutasd már!"
"23.ogg","Víztartály benn. Locsolhatok?"
"24.ogg","Ez a víztartály jól van itt? Nézd már meg!"
"25.ogg","Lemerülve nem fogok ütemezetten takarítani, felejtsd el!"
"26.ogg","Gyári beállítások? Na, most kezdhetek mindent elölről..."
"27.ogg","Frissítek. Öt perc, addig kuss! Ne nyúlj hozzám!"
"28.ogg","Megvan a frissítés. Tök jó."
"29.ogg","Francba, nem sikerült a frissítés. Próbáld újra, ha van kedved."
"30.ogg","Hol a francban vagyok? Mindjárt megmondom."
"31.ogg","Nem tudom, hol vagyok. Ez a térkép egy kalap szar. Kezdem elölről."
"32.ogg","Hé, itt valami megváltozott! Nyomj egy gombot, takarítsunk újra, vagy mi."
