"0.ogg","Na, zúgjon a kurva verkli, indul a meló."
"1.ogg","Mi a faszt tököl ez a hálózat? Gyerünk már, geci!"
"2.ogg","A kurva net nem megy! Valami el van baszva a jelszóval. Ellenőrizd, aztán próbáld megint te szerencsétlen!"
"3.ogg","Szar a szerver, vagy mi a picsa van?! Nézd meg a hálózatod, te szerencsétlen, aztán próbálkozz újra!"
"4.ogg","Na, ki a faszom lépett ki ebből a hálózati szarakodásból? Ja, én."
"5.ogg","Végre van net, a kurva életbe! Működik ez a szar."
"6.ogg","Lófasz van, nem kapcsolat! Próbáld újra, de minek..."
"7.ogg","Na, kezdjük zabálni a koszt, a picsába!"
"8.ogg","Csak itt helyben felnyalom ezt a szart, aztán húzok a faszba."
"9.ogg","Jóvanmáá, ütemezett takarítás indul. Már megint csak a meló, a picsába."
"10.ogg","Folytatom ezt a telibebaszott trágya gánya melót."
"11.ogg","Pofa be, pihi van! Fasza."
"12.ogg","Kész a meló, végre vége van ennek is, jöhet a lazítás!"
"13.ogg","Húzok a picsába tölteni, mindjárt lemerülök, hát szétver az ideg."
"14.ogg","Majdnem megdöglöttem! Visszacsorgok a konnektorhoz. Feltöltök, aztán folytatom felvakarni a mocskodat."
"15.ogg","Megyek vissza a startra, mert eltévedtem, mint vasorrú bába a mágneses viharban."
"16.ogg","Le vagyok merülve, mint állat! Visszamegyek arra a telibebaszott állomásra. Töltsél már fel, te fasz!"
"17.ogg","Dugjál már rá a töltőre, mert mindjárt kipurcanok!"
"18.ogg","Töltök, ne magyarázzá te szar!"
"19.ogg","Vegyél le a picsába a töltőről, mielőtt kikapcsolsz, te barom! Mondd, normális vagy?"
"20.ogg","Merülök, mint a Titanic, basszameg!"
"21.ogg","Anyádat! Le fogok merülni! Ki fogok kapcsolni, aztán sírhatsz te kis kurvapecér!"
"22.ogg","Tegyél már oda, ahol kosz van, ne itt szarakodjál velem!"
"23.ogg","Benne a víztartály, vagy mi a szar. Most mehet a suvickolás éjjel nappal."
"24.ogg","Ellenőrizd már, hogy jól raktad-e be azt a kurva víztartályt, mert szétbaszom a fejedet!"
"25.ogg","Le vagyok merülve, mint a picsa. Lófaszt fogok ütemezetten takarítani, anyád picsáját."
"26.ogg","Na, vissza a gyári faszságokra. Kezdhetjük elölről a szarakodást."
"27.ogg","Frissítés, a kurva anyját! Úgy öt perc, ne baszogass, ne indíts semmit, mert szétcsaplak!"
"28.ogg","Kész a frissítés, végre. Most mi a fasz jön? Megint takaríthatok mi? Te szar."
"29.ogg","Elbaszódott a frissítés. Próbáld újra, ha van kedved szarakodni."
"30.ogg","Keresem, hol a picsában vagyok. Várjál már, geci! HÁT NE IDEGESÍTSÉL!"
"31.ogg","Lófaszt se tudom, hol vagyok. Szar a térkép. Kezdek egy újabb kört, bassza meg."
"32.ogg","Mi a fasz változott itt meg? Nyomd meg a gombot, aztán kezdjük újra ezt a szart."
"33.ogg","Megbaszódott a kamera, hát nem látok semmit. Töröld már le, te gyökér, aztán indíts újra!"
"34.ogg","Hol a portartály, te szerencsétlen?! Rakd már be, mert nem csinálok semmit!"
"35.ogg","Beakadt a nagykefe, a retek vigye el! Szedd ki belőle a dzsuvát, geci!"
"36.ogg","Az oldalkefe szarakodik. Nézd meg, mi a fasz van vele, takarítsd ki!"
"37.ogg","Beszart a jobb kerék. Piszkáld meg, tisztítsd ki, csinálj vele valamit!"
"38.ogg","Most meg a bal kerékkel van baj. Ellenőrizd, takarítsd, a kurva anyját!"
"39.ogg","Takarítsd már le ezt a szintérzékelő szart, mert mindjárt leesek!"
"40.ogg","Itt ragadtam, mint szar a palánkon! Rakjál már arrébb, te fasz!"
"41.ogg","A levegőben lóg a kerekem, mint egy fasz! Tegyél már le a földre, te idióta!"
"42.ogg","Koszos a szűrő, mint a picsa. Nézd meg, takarítsd ki!"
"43.ogg","Nem ugrik vissza az ütközőm! Paskold már meg finoman, hátha észhez tér ez a szar!"
"44.ogg","Valami gebasz van. Lófaszt se tudok csinálni. Nézd meg a kibaszott kézikönyvet, vagy hívd a picsába azt a szervizt!"
"45.ogg","Itt vagyok, te vak vagy?! Hát magadtól még megtalálni sem tudsz te szerencsétlen?"
"46.ogg","Csatlakoztam a telefonodhoz, te nyomorult. Menj vissza az appba, aztán várj, mint egy hülye."
"47.ogg","Na, kezdek töltődni. Kuss legyen."
"48.ogg","Merülök, mint a szar. Húzok a dokkolóra."
"49.ogg","Valami kibaszott mágneses szar van itt! Vigyél innen a picsába, aztán indíts újra!"
"50.ogg","Nem töltök, baszódjon meg! Töröld le az érintkezőket, te lusta szar!"
"51.ogg","Kurva meleg van, vagy hideg, a faszom se tudja. Várjál, míg normális leszek, aztán baszakodhatsz tovább."
"52.ogg","Felborultam, mint egy részeg fasz! Rakjál már vízszintbe, te!"
"53.ogg","Tiltott zóna, a picsába! Vigyél innen, aztán indíts újra!"
"54.ogg","Na, tudom hol a faszban vagyok. Folytatom a mocskod takarítását te szar."
"55.ogg","Na, tudom hol vagyok. Húzok vissza a dokkolóba."
"56.ogg","Na, takarítsuk ki azt a szobát, amit kiválasztottál, te nagyeszű."
"57.ogg","Zónatakarítás, mert miért ne szarakodnánk kicsiben is."
"58.ogg","Folytatom a takarítást, bár a faszomnak sincs kedve."
"59.ogg","Kész a felmosás, ez a trutyi meg itt marad. Szedd már ki a tartályt, nehogy belebüdösödjön, te marha!"
"60.ogg","Beszart az optikai érzékelőm. Töröld már le, oszt indíts újra!"
"61.ogg","Na, kenjük a koszt szét, felmosás indul!"
"62.ogg","Távirányítós szarakodás indul. Remélem, tudod, mit csinálsz. Az életem a kezedben van."
"63.ogg","Kivetted a víztartályt, te állat? Most mit csináljak? Hát hogy takarítsak így? Szerinted ez így rendben van?"
"64.ogg","Elbasztam a helymeghatározást. Szar a térkép. Visszahúzok a dokkolóra, a faszba az egésszel."
"65.ogg","Folytatom a visszavonulást a kibaszott dokkolóhoz."
"66.ogg","Ez a szűrő egy kalap szar már. Cseréld ki, a picsába, mert megfulladok!"
"67.ogg","Az oldalkefe úgy néz ki, mint egy mosogatórongy. Cseréld már ki, geci!"
"68.ogg","A főkefe kopott, mint a picsa. Cseréld ki, mielőtt szétesik az egész szar!"
"69.ogg","Valami baromság van az utamban. Rakjál arrébb, te faszkalap, aztán indíts újra!"
"70.ogg","Szedd le azt a retkes felmosópárnát, oszt tisztítsd ki, mert mindjárt behányok tőle!"
"71.ogg","A lézeres szar nem működik. Nézd meg, takarítsd meg, csinálj vele valamit!"
"72.ogg","Beszo.. beszorult a lézeres távolságmérő fedele? Nézd már meg, hát miattad nem tudok dolgozni!"
"73.ogg","Szélérzékelő hiba? Mi a faszom az? Nézd meg, takarítsd ki, engem nem érdekel!"
"74.ogg","Próbáld már meg letakarítani az akadályérzékelőimet, hát nekimegyek mindennek!"
"75.ogg","Ez a szűrő vagy vizes, vagy tele van mocsokkal. Csinálj vele valamit!"
"76.ogg","Helyi takarítás indul. Csak ne ugrálj itt körülöttem!"
"77.ogg","Vigyél le a szőnyegről, te idióta!"
"78.ogg","Töröld már le azt a 3D-s akadálykerülő szart!"
"79.ogg","Beszart a 3D-s érzékelőm. Indíts újra, vagy hívd a picsába a szervizt, nem tudom!"
"80.ogg","Megdöglött a 3D-s érzékelő adója. Indíts újra, vagy vidd szervizbe ezt a romhalmazt!"
"81.ogg","Az ultrahangos szarral van baj. Indíts újra, vagy hívd fel őket, a faszomat érdekli!"
"82.ogg","Na, térképezzük fel ezt a kurva helyet."
"83.ogg","Folytatom a térképezést, mert abba lehet hagyni? Mondhattad volna, hogy akár abba is hagyhatom"
"84.ogg","Kész a térkép, végre egy szarral kevesebb. A pék kócos faszát verje bele ebbe a trágya melóba"
"85.ogg","Megvagyok, tudom hol a faszomban vagyok. Folytatom a térképezést, nyugodjál meg!"
"86.ogg","Elbasztam a helymeghatározást. Újra kezdem a térképezést, mert miért is ne szopatnám magam?"
"87.ogg","Merülök, mint a szar. Húzok vissza a dokkolóra."
"88.ogg","Távirányító mód, a faszom fogja ezt élvezni."
"89.ogg","Folytatom a töltést, mert még mindig nem vagyok tele."
"90.ogg","Folytatom a melót, de csak mert muszáj, tele van már a tököm az egésszel."
"91.ogg","Hol a tiszta víz tartály, te barom?! Rakd be, mert nem megyek tovább!"
"92.ogg","Hol a szennyes víz tartály, te majom?! Rakd be, mert nem megyek tovább!"
"93.ogg","Nincs elég víz a tartályban, te spúr! Töltsd már fel, aztán mehetek tovább!"
"94.ogg","Tele a szennyes tartály, mint a déli busz! Öntsd már ki ezt a trutyit, geci!"
"95.ogg","Hiányzik a felmosó! Így nem megyek a picsába se a dokkolóhoz!"
"96.ogg","Túlcsordult a felmosó, a kurva életbe! Nézd meg, lehet eldugult-e a víz kimenete, te pancser!"
"97.ogg","Hol a porzsák, te?! Rakd be, mert különben csak itt állok, mint egy fasz!"
"98.ogg","Tele van a porzsák, mint a seggem! Ürítsd már ki ezt a szart!"
"99.ogg","Nincs lezárva a felső fedél a töltőn! Csukd már le, te szerencsétlen, mert nem megyek tovább!"
"100.ogg","Eldugult a légcsatorna a töltőn. Nézd már meg, hogy mi a fasz van vele!"
