"0.ogg","Indítási hang"
"1.ogg","Várakozás a hálózati konfigurációra."
"2.ogg","Nem sikerült csatlakozni a wifi hálózathoz. Kérjük, ellenőrizze a wifi jelszót, és próbálja újra később."
"3.ogg","Nem sikerült csatlakozni a szerverhez. Kérjük, ellenőrizze a helyi hálózatot, és próbálja újra később."
"4.ogg","A robot kilépett a hálózati konfigurációs módból."
"5.ogg","Hálózati kapcsolat sikeresen létrejött."
"6.ogg","Hálózati kapcsolat sikertelen. Kérjük, próbálja újra később."
"7.ogg","Takarítás indítása."
"8.ogg","Helyi takarítás indítása."
"9.ogg","Ütemezett takarítás indítása."
"10.ogg","Takarítás folytatása."
"11.ogg","Szüneteltetve."
"12.ogg","Takarítási feladat befejezve."
"13.ogg","Visszatérés a dokkolóhoz töltésre."
"14.ogg","Alacsony akkumulátorszint. Visszatérés a dokkolóhoz töltésre. A robot a töltés után folytatja a munkát."
"15.ogg","Visszatérek a kiindulási ponthoz."
"16.ogg","Alacsony akkumulátorszint. Visszatérek a kiindulási ponthoz. Kérem, töltsön fel."
"17.ogg","Kérjük, helyezze a robotot a dokkolóra töltéshez."
"18.ogg","Töltés."
"19.ogg","Kérjük, vegye le a robotot a dokkolóról kikapcsolás előtt."
"20.ogg","Alacsony akkumulátorszint."
"21.ogg","Alacsony akkumulátorszint. A robot kikapcsol."
"22.ogg","Kérjük, helyezze a robotot egy takarítandó területre."
"23.ogg","Víztartály telepítve."
"24.ogg","Kérjük, ellenőrizze, hogy a víztartály megfelelően van-e telepítve."
"25.ogg","Alacsony akkumulátorszint. Nem sikerült végrehajtani az ütemezett takarítást."
"26.ogg","Gyári beállítások visszaállítása."
"27.ogg","Frissítés. Körülbelül öt percet vesz igénybe. Ne kapcsolja ki és ne indítson takarítási feladatot."
"28.ogg","Sikeresen frissítve."
"29.ogg","Frissítés sikertelen, kérjük, próbálja újra."
"30.ogg","Helymeghatározás, kérem várjon."
"31.ogg","Helymeghatározás sikertelen. A térkép érvénytelen. A robot új takarítást kezd."
"32.ogg","Változásokat észleltem a környezetben. Kérjük, nyomja meg a gombot, és indítson új takarítási ciklust."
"33.ogg","Vizuális navigációs érzékelő hiba. Kérjük, törölje tisztára és indítsa újra."
"34.ogg","Portartály nincs telepítve. Kérjük, telepítse."
"35.ogg","Főkefe hiba. Kérjük, ellenőrizze és tisztítsa meg."
"36.ogg","Oldalkefe hiba. Kérjük, ellenőrizze és tisztítsa meg."
"37.ogg","Jobb kerék hiba. Kérjük, ellenőrizze és tisztítsa meg."
"38.ogg","Bal kerék hiba. Kérjük, ellenőrizze és tisztítsa meg."
"39.ogg","Kérjük, tisztítsa meg a szintérzékelőt."
"40.ogg","A robot elakadt. Kérjük, helyezze új pozícióba az újraindításhoz."
"41.ogg","A robot kerekei a levegőben vannak. Kérjük, helyezze vissza a robotot a földre."
"42.ogg","Kérjük, ellenőrizze és tisztítsa meg a szűrőt."
"43.ogg","Ütköző hiba. Kérjük, finoman kocogtassa meg, hogy visszaugrik-e."
"44.ogg","Hiba. Kérjük, ellenőrizze a felhasználói kézikönyvet vagy lépjen kapcsolatba az ügyfélszolgálattal."
"45.ogg","Itt vagyok."
"46.ogg","A robot és a telefon csatlakozott. Kérjük, térjen vissza az alkalmazásba, hogy megvárja az eredményt."
"47.ogg","Töltés indítása."
